id,station_name,code,longitude,latitude,elevation,Date,Rainfall_avg,Temp_Max,Temp_Min,Thunderstrom
43486,RATNAPURA,5,80.4,6.68,,07/11/2016,5.6,32.6,26.1,NO
43486,RATNAPURA,5,80.4,6.68,,07/12/2016,18.5,29.3,24.5,NO
43486,RATNAPURA,5,80.4,6.68,,7/13/2016,0.3,31.2,22.3,NO
43486,RATNAPURA,5,80.4,6.68,,7/14/2016,1.1,30.3,23.4,NO
43486,RATNAPURA,5,80.4,6.68,,7/15/2016,7.8,30.2,23.2,NO
43486,RATNAPURA,5,80.4,6.68,,7/16/2016,8.3,31,23.6,NO
43486,RATNAPURA,5,80.4,6.68,,7/17/2016,0,30.9,22.6,NO
43486,RATNAPURA,5,80.4,6.68,,7/18/2016,0.1,31.6,23,NO
43486,RATNAPURA,5,80.4,6.68,,7/19/2016,0,32.3,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,7/20/2016,0,31.6,24.5,NO
43486,RATNAPURA,5,80.4,6.68,,7/21/2016,0,31.4,25.2,NO
43486,RATNAPURA,5,80.4,6.68,,7/22/2016,0,31.5,25.4,NO
43486,RATNAPURA,5,80.4,6.68,,7/23/2016,5.1,32.1,25.2,NO
43486,RATNAPURA,5,80.4,6.68,,7/24/2016,13.4,29.4,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,7/25/2016,1.2,28.6,23.2,NO
43486,RATNAPURA,5,80.4,6.68,,7/26/2016,28.3,30.3,24.1,NO
43486,RATNAPURA,5,80.4,6.68,,7/27/2016,15.3,30,23.7,NO
43486,RATNAPURA,5,80.4,6.68,,7/28/2016,7.6,31.6,23.6,NO
43486,RATNAPURA,5,80.4,6.68,,7/29/2016,47.9,28.6,23.6,NO
43486,RATNAPURA,5,80.4,6.68,,7/30/2016,24.6,29.2,22.7,NO
43486,RATNAPURA,5,80.4,6.68,,7/31/2016,1.3,30.4,22.8,NO
43486,RATNAPURA,5,80.4,6.68,,08/01/2016,0,30.9,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,08/02/2016,0,32.1,24.8,NO
43486,RATNAPURA,5,80.4,6.68,,08/03/2016,0,31.4,24.5,NO
43486,RATNAPURA,5,80.4,6.68,,08/04/2016,0,31,25,NO
43486,RATNAPURA,5,80.4,6.68,,08/05/2016,0,32.5,25.2,NO
43486,RATNAPURA,5,80.4,6.68,,08/06/2016,0,32.9,25.3,NO
43486,RATNAPURA,5,80.4,6.68,,08/07/2016,0.2,32.3,24.8,NO
43486,RATNAPURA,5,80.4,6.68,,08/08/2016,0.2,32.2,24.9,NO
43486,RATNAPURA,5,80.4,6.68,,08/09/2016,5.8,31.6,25,NO
43486,RATNAPURA,5,80.4,6.68,,08/10/2016,7.3,31.6,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,08/11/2016,1.7,31.7,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,08/12/2016,0.3,31.4,24,NO
43486,RATNAPURA,5,80.4,6.68,,8/13/2016,0.3,31.9,24.6,NO
43486,RATNAPURA,5,80.4,6.68,,8/14/2016,3.8,31.4,24.3,NO
43486,RATNAPURA,5,80.4,6.68,,8/15/2016,3,30.6,24.5,NO
43486,RATNAPURA,5,80.4,6.68,,8/16/2016,0,30.6,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,8/17/2016,2.9,30.8,25.2,NO
43486,RATNAPURA,5,80.4,6.68,,8/18/2016,6.1,31.4,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,8/19/2016,0,30.9,24.4,NO
43486,RATNAPURA,5,80.4,6.68,,8/20/2016,6.2,32.4,24.1,NO
43486,RATNAPURA,5,80.4,6.68,,8/21/2016,3.9,31.4,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,8/22/2016,11.2,28.5,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,8/23/2016,17.7,27.7,24.3,NO
43486,RATNAPURA,5,80.4,6.68,,8/24/2016,3.1,31.8,23.4,NO
43486,RATNAPURA,5,80.4,6.68,,8/25/2016,1,29.7,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,8/26/2016,1,31.1,24.1,NO
43486,RATNAPURA,5,80.4,6.68,,8/27/2016,5.3,30.1,24.5,NO
43486,RATNAPURA,5,80.4,6.68,,8/28/2016,0.5,30.2,24,NO
43486,RATNAPURA,5,80.4,6.68,,8/29/2016,1.5,31.5,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,8/30/2016,21.1,29.5,23.9,NO
